Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Cost_per_procedure,Daily_Operating_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Net-Profit (daily),,,,
9/6/2023,US_1707,Ultrasound,Radiology,11,7.9,0.72,27,3000,1000,"KES 81,000",Wednesday,September,FALSE,"KES 80,000",,,,
11/8/2023,CT_1708,CT Scanner,Radiology,9,3.7,0.41,21,10000,3000,"KES 210,000",Wednesday,November,FALSE,"KES 207,000",,,,
1/8/2023,US_1709,Ultrasound,Radiology,8,6.6,0.82,39,3000,1000,"KES 117,000",Sunday,January,TRUE,"KES 116,000",,,,
10/27/2023,CT_1710,CT Scanner,Radiology,10,6.9,0.69,30,10000,3000,"KES 300,000",Friday,October,FALSE,"KES 297,000",,,,
6/10/2023,MRI_1711,MRI Scanner,Radiology,16,3.7,0.23,5,30000,5000,"KES 150,000",Saturday,June,TRUE,"KES 145,000",,,,
2/2/2023,US_1712,Ultrasound,Radiology,9,8.7,0.97,22,3000,1000,"KES 66,000",Thursday,February,FALSE,"KES 65,000",,,,
5/7/2023,US_1713,Ultrasound,Radiology,8,7.9,0.99,18,3000,1000,"KES 54,000",Sunday,May,TRUE,"KES 53,000",,,,
11/30/2023,CT_1714,CT Scanner,Radiology,17,4.5,0.26,24,10000,3000,"KES 240,000",Thursday,November,FALSE,"KES 237,000",,,,
6/28/2023,MRI_1715,MRI Scanner,Radiology,9,0.5,0.06,1,30000,5000,"KES 30,000",Wednesday,June,FALSE,"KES 25,000",,,,
10/9/2023,US_1716,Ultrasound,Radiology,12,10.3,0.86,22,3000,1000,"KES 66,000",Monday,October,FALSE,"KES 65,000",,,,
7/20/2023,US_1717,Ultrasound,Radiology,12,10.6,0.88,26,3000,1000,"KES 78,000",Thursday,July,FALSE,"KES 77,000",,,,
10/10/2023,MAMMO_1718,Mammography Unit,Women's Health,12,11.2,0.93,17,5000,1000,"KES 85,000",Tuesday,October,FALSE,"KES 84,000",,,,
2/17/2023,XRAY_1719,X-Ray Machine,Radiology,13,6.4,0.49,10,2000,1500,"KES 20,000",Friday,February,FALSE,"KES 18,500",,,,
8/15/2023,CT_1720,CT Scanner,Radiology,11,9.9,0.9,28,10000,3000,"KES 280,000",Tuesday,August,FALSE,"KES 277,000",,,,
8/4/2023,MAMMO_1721,Mammography Unit,Women's Health,9,6.5,0.72,14,5000,1000,"KES 70,000",Friday,August,FALSE,"KES 69,000",,,,
9/30/2023,CT_1722,CT Scanner,Radiology,17,9.8,0.58,27,10000,3000,"KES 270,000",Saturday,September,TRUE,"KES 267,000",,,,
8/21/2023,MRI_1723,MRI Scanner,Radiology,13,1.7,0.13,1,30000,5000,"KES 30,000",Monday,August,FALSE,"KES 25,000",,,,
3/16/2023,MRI_1724,MRI Scanner,Radiology,14,3.8,0.27,3,30000,5000,"KES 90,000",Thursday,March,FALSE,"KES 85,000",,,,
7/31/2023,CT_1725,CT Scanner,Radiology,12,9.2,0.77,22,10000,3000,"KES 220,000",Monday,July,FALSE,"KES 217,000",,,,
10/10/2023,XRAY_1726,X-Ray Machine,Radiology,12,6.1,0.51,15,2000,1500,"KES 30,000",Tuesday,October,FALSE,"KES 28,500",,,,
10/17/2023,XRAY_1727,X-Ray Machine,Radiology,13,11.1,0.85,21,2000,1500,"KES 42,000",Tuesday,October,FALSE,"KES 40,500",,,,
2/28/2023,MAMMO_1728,Mammography Unit,Women's Health,11,7.8,0.71,23,5000,1000,"KES 115,000",Tuesday,February,FALSE,"KES 114,000",,,,
8/4/2023,MAMMO_1729,Mammography Unit,Women's Health,12,10.7,0.89,23,5000,1000,"KES 115,000",Friday,August,FALSE,"KES 114,000",,,,
10/23/2023,MAMMO_1730,Mammography Unit,Women's Health,8,4.1,0.51,26,5000,1000,"KES 130,000",Monday,October,FALSE,"KES 129,000",,,,
6/15/2023,XRAY_1731,X-Ray Machine,Radiology,20,12.7,0.64,8,2000,1500,"KES 16,000",Thursday,June,FALSE,"KES 14,500",,,,
7/29/2023,MAMMO_1732,Mammography Unit,Women's Health,8,3.2,0.4,15,5000,1000,"KES 75,000",Saturday,July,TRUE,"KES 74,000",,,,
8/16/2023,CT_1733,CT Scanner,Radiology,17,15.5,0.91,16,10000,3000,"KES 160,000",Wednesday,August,FALSE,"KES 157,000",,,,
11/27/2023,US_1734,Ultrasound,Radiology,10,8.6,0.86,28,3000,1000,"KES 84,000",Monday,November,FALSE,"KES 83,000",,,,
8/6/2023,MRI_1735,MRI Scanner,Radiology,11,2,0.18,4,30000,5000,"KES 120,000",Sunday,August,TRUE,"KES 115,000",,,,
3/9/2023,US_1736,Ultrasound,Radiology,10,8.7,0.87,23,3000,1000,"KES 69,000",Thursday,March,FALSE,"KES 68,000",,,,
1/27/2023,CT_1737,CT Scanner,Radiology,12,8.5,0.71,24,10000,3000,"KES 240,000",Friday,January,FALSE,"KES 237,000",,,,
4/12/2023,MAMMO_1738,Mammography Unit,Women's Health,17,15.3,0.9,8,5000,1000,"KES 40,000",Wednesday,April,FALSE,"KES 39,000",,,,
7/24/2023,XRAY_1739,X-Ray Machine,Radiology,9,6.7,0.74,10,2000,1500,"KES 20,000",Monday,July,FALSE,"KES 18,500",,,,
6/18/2023,US_1740,Ultrasound,Radiology,11,7.8,0.71,20,3000,1000,"KES 60,000",Sunday,June,TRUE,"KES 59,000",,,,
1/2/2023,XRAY_1741,X-Ray Machine,Radiology,8,7.3,0.91,23,2000,1500,"KES 46,000",Monday,January,FALSE,"KES 44,500",,,,
4/21/2023,XRAY_1742,X-Ray Machine,Radiology,15,4.1,0.27,7,2000,1500,"KES 14,000",Friday,April,FALSE,"KES 12,500",,,,
4/6/2023,XRAY_1743,X-Ray Machine,Radiology,10,8,0.8,7,2000,1500,"KES 14,000",Thursday,April,FALSE,"KES 12,500",,,,
11/18/2023,CT_1744,CT Scanner,Radiology,15,4.9,0.33,12,10000,3000,"KES 120,000",Saturday,November,TRUE,"KES 117,000",,,,
4/12/2023,MAMMO_1745,Mammography Unit,Women's Health,19,16.4,0.86,22,5000,1000,"KES 110,000",Wednesday,April,FALSE,"KES 109,000",,,,
5/12/2023,MRI_1746,MRI Scanner,Radiology,8,2.9,0.36,3,30000,5000,"KES 90,000",Friday,May,FALSE,"KES 85,000",,,,
4/4/2023,MRI_1747,MRI Scanner,Radiology,13,3.1,0.24,1,30000,5000,"KES 30,000",Tuesday,April,FALSE,"KES 25,000",,,,
7/26/2023,MRI_1748,MRI Scanner,Radiology,16,1.5,0.09,1,30000,5000,"KES 30,000",Wednesday,July,FALSE,"KES 25,000",,,,
7/21/2023,MRI_1749,MRI Scanner,Radiology,15,1,0.07,1,30000,5000,"KES 30,000",Friday,July,FALSE,"KES 25,000",,,,
12/15/2023,CT_1750,CT Scanner,Radiology,9,4.7,0.52,15,10000,3000,"KES 150,000",Friday,December,FALSE,"KES 147,000",,,,
3/20/2023,MAMMO_1751,Mammography Unit,Women's Health,8,3.8,0.47,12,5000,1000,"KES 60,000",Monday,March,FALSE,"KES 59,000",,,,
5/23/2023,CT_1752,CT Scanner,Radiology,10,3.1,0.31,7,10000,3000,"KES 70,000",Tuesday,May,FALSE,"KES 67,000",,,,
3/11/2023,XRAY_1753,X-Ray Machine,Radiology,12,8.2,0.68,8,2000,1500,"KES 16,000",Saturday,March,TRUE,"KES 14,500",,,,
9/19/2023,MRI_1754,MRI Scanner,Radiology,12,3.7,0.31,4,30000,5000,"KES 120,000",Tuesday,September,FALSE,"KES 115,000",,,,
2/24/2023,MRI_1755,MRI Scanner,Radiology,13,1.3,0.1,4,30000,5000,"KES 120,000",Friday,February,FALSE,"KES 115,000",,,,
5/14/2023,MRI_1756,MRI Scanner,Radiology,13,3.7,0.28,1,30000,5000,"KES 30,000",Sunday,May,TRUE,"KES 25,000",,,,
9/3/2023,MAMMO_1757,Mammography Unit,Women's Health,12,8.4,0.7,11,5000,1000,"KES 55,000",Sunday,September,TRUE,"KES 54,000",,,,
5/28/2023,MAMMO_1758,Mammography Unit,Women's Health,9,5.3,0.59,27,5000,1000,"KES 135,000",Sunday,May,TRUE,"KES 134,000",,,,
7/4/2023,XRAY_1759,X-Ray Machine,Radiology,11,9.8,0.89,17,2000,1500,"KES 34,000",Tuesday,July,FALSE,"KES 32,500",,,,
5/2/2023,MRI_1760,MRI Scanner,Radiology,11,2.7,0.25,4,30000,5000,"KES 120,000",Tuesday,May,FALSE,"KES 115,000",,,,
4/8/2023,MAMMO_1761,Mammography Unit,Women's Health,10,6.6,0.66,13,5000,1000,"KES 65,000",Saturday,April,TRUE,"KES 64,000",,,,
8/13/2023,CT_1762,CT Scanner,Radiology,8,4.6,0.57,14,10000,3000,"KES 140,000",Sunday,August,TRUE,"KES 137,000",,,,
11/9/2023,CT_1763,CT Scanner,Radiology,15,6.4,0.43,26,10000,3000,"KES 260,000",Thursday,November,FALSE,"KES 257,000",,,,
6/5/2023,US_1764,Ultrasound,Radiology,12,10.7,0.89,35,3000,1000,"KES 105,000",Monday,June,FALSE,"KES 104,000",,,,
1/4/2023,MAMMO_1765,Mammography Unit,Women's Health,20,5.7,0.29,28,5000,1000,"KES 140,000",Wednesday,January,FALSE,"KES 139,000",,,,
2/7/2023,CT_1766,CT Scanner,Radiology,19,15.5,0.82,20,10000,3000,"KES 200,000",Tuesday,February,FALSE,"KES 197,000",,,,
6/27/2023,CT_1767,CT Scanner,Radiology,11,5.8,0.53,22,10000,3000,"KES 220,000",Tuesday,June,FALSE,"KES 217,000",,,,
7/21/2023,US_1768,Ultrasound,Radiology,12,7.1,0.59,19,3000,1000,"KES 57,000",Friday,July,FALSE,"KES 56,000",,,,
4/4/2023,MAMMO_1769,Mammography Unit,Women's Health,10,4.3,0.43,9,5000,1000,"KES 45,000",Tuesday,April,FALSE,"KES 44,000",,,,
3/13/2023,MRI_1770,MRI Scanner,Radiology,16,1,0.06,3,30000,5000,"KES 90,000",Monday,March,FALSE,"KES 85,000",,,,
10/12/2023,XRAY_1771,X-Ray Machine,Radiology,20,11.6,0.58,19,2000,1500,"KES 38,000",Thursday,October,FALSE,"KES 36,500",,,,
10/31/2023,MRI_1772,MRI Scanner,Radiology,8,1.4,0.17,4,30000,5000,"KES 120,000",Tuesday,October,FALSE,"KES 115,000",,,,
9/23/2023,CT_1773,CT Scanner,Radiology,17,9.6,0.56,16,10000,3000,"KES 160,000",Saturday,September,TRUE,"KES 157,000",,,,
6/6/2023,XRAY_1774,X-Ray Machine,Radiology,12,10.6,0.88,8,2000,1500,"KES 16,000",Tuesday,June,FALSE,"KES 14,500",,,,
4/13/2023,MAMMO_1775,Mammography Unit,Women's Health,15,6.3,0.42,26,5000,1000,"KES 130,000",Thursday,April,FALSE,"KES 129,000",,,,
4/4/2023,MRI_1776,MRI Scanner,Radiology,14,3.6,0.26,2,30000,5000,"KES 60,000",Tuesday,April,FALSE,"KES 55,000",,,,
10/25/2023,CT_1777,CT Scanner,Radiology,15,14.5,0.97,17,10000,3000,"KES 170,000",Wednesday,October,FALSE,"KES 167,000",,,,
6/24/2023,XRAY_1778,X-Ray Machine,Radiology,9,6.3,0.7,25,2000,1500,"KES 50,000",Saturday,June,TRUE,"KES 48,500",,,,
5/14/2023,US_1779,Ultrasound,Radiology,8,7.5,0.94,27,3000,1000,"KES 81,000",Sunday,May,TRUE,"KES 80,000",,,,
1/14/2023,MRI_1780,MRI Scanner,Radiology,11,2,0.18,5,30000,5000,"KES 150,000",Saturday,January,TRUE,"KES 145,000",,,,
2/12/2023,MAMMO_1781,Mammography Unit,Women's Health,18,7.2,0.4,24,5000,1000,"KES 120,000",Sunday,February,TRUE,"KES 119,000",,,,
11/5/2023,XRAY_1782,X-Ray Machine,Radiology,19,3.4,0.18,24,2000,1500,"KES 48,000",Sunday,November,TRUE,"KES 46,500",,,,
2/8/2023,US_1783,Ultrasound,Radiology,11,11,1,27,3000,1000,"KES 81,000",Wednesday,February,FALSE,"KES 80,000",,,,
2/9/2023,XRAY_1784,X-Ray Machine,Radiology,11,10.7,0.97,26,2000,1500,"KES 52,000",Thursday,February,FALSE,"KES 50,500",,,,
1/6/2023,US_1785,Ultrasound,Radiology,11,10.7,0.97,40,3000,1000,"KES 120,000",Friday,January,FALSE,"KES 119,000",,,,
5/23/2023,XRAY_1786,X-Ray Machine,Radiology,15,7.5,0.5,11,2000,1500,"KES 22,000",Tuesday,May,FALSE,"KES 20,500",,,,
4/30/2023,CT_1787,CT Scanner,Radiology,16,13.6,0.85,9,10000,3000,"KES 90,000",Sunday,April,TRUE,"KES 87,000",,,,
5/23/2023,XRAY_1788,X-Ray Machine,Radiology,20,18.5,0.93,9,2000,1500,"KES 18,000",Tuesday,May,FALSE,"KES 16,500",,,,
11/4/2023,US_1789,Ultrasound,Radiology,10,8.4,0.84,39,3000,1000,"KES 117,000",Saturday,November,TRUE,"KES 116,000",,,,
2/23/2023,US_1790,Ultrasound,Radiology,8,7.7,0.96,27,3000,1000,"KES 81,000",Thursday,February,FALSE,"KES 80,000",,,,
7/22/2023,MAMMO_1791,Mammography Unit,Women's Health,19,13.9,0.73,19,5000,1000,"KES 95,000",Saturday,July,TRUE,"KES 94,000",,,,
4/2/2023,CT_1792,CT Scanner,Radiology,13,6.5,0.5,25,10000,3000,"KES 250,000",Sunday,April,TRUE,"KES 247,000",,,,
10/30/2023,XRAY_1793,X-Ray Machine,Radiology,14,7.5,0.54,26,2000,1500,"KES 52,000",Monday,October,FALSE,"KES 50,500",,,,
2/10/2023,XRAY_1794,X-Ray Machine,Radiology,16,5.2,0.33,28,2000,1500,"KES 56,000",Friday,February,FALSE,"KES 54,500",,,,
7/14/2023,XRAY_1795,X-Ray Machine,Radiology,18,7,0.39,9,2000,1500,"KES 18,000",Friday,July,FALSE,"KES 16,500",,,,
4/7/2023,CT_1796,CT Scanner,Radiology,14,12.1,0.86,12,10000,3000,"KES 120,000",Friday,April,FALSE,"KES 117,000",,,,
4/29/2023,US_1797,Ultrasound,Radiology,9,6.3,0.7,26,3000,1000,"KES 78,000",Saturday,April,TRUE,"KES 77,000",,,,
1/3/2023,CT_1798,CT Scanner,Radiology,14,5.6,0.4,30,10000,3000,"KES 300,000",Tuesday,January,FALSE,"KES 297,000",,,,
5/9/2023,CT_1799,CT Scanner,Radiology,17,10.1,0.59,20,10000,3000,"KES 200,000",Tuesday,May,FALSE,"KES 197,000",,,,
8/21/2023,MRI_1800,MRI Scanner,Radiology,16,2.1,0.13,5,30000,5000,"KES 150,000",Monday,August,FALSE,"KES 145,000",,,,
7/8/2023,MAMMO_1801,Mammography Unit,Women's Health,20,16.7,0.83,14,5000,1000,"KES 70,000",Saturday,July,TRUE,"KES 69,000",,,,
10/31/2023,US_1802,Ultrasound,Radiology,9,8.7,0.97,39,3000,1000,"KES 117,000",Tuesday,October,FALSE,"KES 116,000",,,,
10/11/2023,MAMMO_1803,Mammography Unit,Women's Health,19,7.1,0.37,7,5000,1000,"KES 35,000",Wednesday,October,FALSE,"KES 34,000",,,,
10/6/2023,CT_1804,CT Scanner,Radiology,20,16.6,0.83,15,10000,3000,"KES 150,000",Friday,October,FALSE,"KES 147,000",,,,
5/25/2023,MRI_1805,MRI Scanner,Radiology,12,0.6,0.05,2,30000,5000,"KES 60,000",Thursday,May,FALSE,"KES 55,000",,,,
11/7/2023,CT_1806,CT Scanner,Radiology,10,9.7,0.97,23,10000,3000,"KES 230,000",Tuesday,November,FALSE,"KES 227,000",,,,
12/29/2023,CT_1807,CT Scanner,Radiology,8,3.1,0.39,27,10000,3000,"KES 270,000",Friday,December,FALSE,"KES 267,000",,,,
4/22/2023,MRI_1808,MRI Scanner,Radiology,11,1.6,0.15,2,30000,5000,"KES 60,000",Saturday,April,TRUE,"KES 55,000",,,,
11/24/2023,US_1809,Ultrasound,Radiology,9,8.8,0.98,28,3000,1000,"KES 84,000",Friday,November,FALSE,"KES 83,000",,,,
6/16/2023,CT_1810,CT Scanner,Radiology,14,5.8,0.41,22,10000,3000,"KES 220,000",Friday,June,FALSE,"KES 217,000",,,,
4/25/2023,CT_1811,CT Scanner,Radiology,14,6.5,0.46,12,10000,3000,"KES 120,000",Tuesday,April,FALSE,"KES 117,000",,,,
1/1/2023,XRAY_1812,X-Ray Machine,Radiology,12,8.1,0.67,15,2000,1500,"KES 30,000",Sunday,January,TRUE,"KES 28,500",,,,
4/8/2023,CT_1813,CT Scanner,Radiology,18,12.8,0.71,25,10000,3000,"KES 250,000",Saturday,April,TRUE,"KES 247,000",,,,
6/30/2023,MRI_1814,MRI Scanner,Radiology,10,3.3,0.33,2,30000,5000,"KES 60,000",Friday,June,FALSE,"KES 55,000",,,,
2/28/2023,CT_1815,CT Scanner,Radiology,12,7.7,0.64,21,10000,3000,"KES 210,000",Tuesday,February,FALSE,"KES 207,000",,,,
1/7/2023,US_1816,Ultrasound,Radiology,8,6.3,0.79,24,3000,1000,"KES 72,000",Saturday,January,TRUE,"KES 71,000",,,,
4/5/2023,US_1817,Ultrasound,Radiology,8,7.3,0.91,18,3000,1000,"KES 54,000",Wednesday,April,FALSE,"KES 53,000",,,,
4/7/2023,XRAY_1818,X-Ray Machine,Radiology,17,5.9,0.35,9,2000,1500,"KES 18,000",Friday,April,FALSE,"KES 16,500",,,,
9/21/2023,US_1819,Ultrasound,Radiology,9,7,0.78,34,3000,1000,"KES 102,000",Thursday,September,FALSE,"KES 101,000",,,,
8/8/2023,MRI_1820,MRI Scanner,Radiology,10,2.3,0.23,2,30000,5000,"KES 60,000",Tuesday,August,FALSE,"KES 55,000",,,,
9/10/2023,MRI_1821,MRI Scanner,Radiology,11,2.8,0.25,3,30000,5000,"KES 90,000",Sunday,September,TRUE,"KES 85,000",,,,
2/23/2023,US_1822,Ultrasound,Radiology,10,8.8,0.88,17,3000,1000,"KES 51,000",Thursday,February,FALSE,"KES 50,000",,,,
12/25/2023,US_1823,Ultrasound,Radiology,12,10.9,0.91,21,3000,1000,"KES 63,000",Monday,December,FALSE,"KES 62,000",,,,
9/3/2023,XRAY_1824,X-Ray Machine,Radiology,8,7.1,0.89,16,2000,1500,"KES 32,000",Sunday,September,TRUE,"KES 30,500",,,,
1/23/2023,XRAY_1825,X-Ray Machine,Radiology,11,5.9,0.54,6,2000,1500,"KES 12,000",Monday,January,FALSE,"KES 10,500",,,,
2/1/2023,US_1826,Ultrasound,Radiology,11,7.2,0.65,31,3000,1000,"KES 93,000",Wednesday,February,FALSE,"KES 92,000",,,,
11/8/2023,XRAY_1827,X-Ray Machine,Radiology,15,14.4,0.96,28,2000,1500,"KES 56,000",Wednesday,November,FALSE,"KES 54,500",,,,
9/10/2023,CT_1828,CT Scanner,Radiology,14,12.1,0.86,9,10000,3000,"KES 90,000",Sunday,September,TRUE,"KES 87,000",,,,
8/28/2023,XRAY_1829,X-Ray Machine,Radiology,8,5.4,0.68,23,2000,1500,"KES 46,000",Monday,August,FALSE,"KES 44,500",,,,
4/28/2023,XRAY_1830,X-Ray Machine,Radiology,20,18.6,0.93,16,2000,1500,"KES 32,000",Friday,April,FALSE,"KES 30,500",,,,
12/10/2023,CT_1831,CT Scanner,Radiology,20,8.5,0.42,20,10000,3000,"KES 200,000",Sunday,December,TRUE,"KES 197,000",,,,
2/13/2023,CT_1832,CT Scanner,Radiology,14,6.3,0.45,22,10000,3000,"KES 220,000",Monday,February,FALSE,"KES 217,000",,,,
10/23/2023,MRI_1833,MRI Scanner,Radiology,14,1,0.07,3,30000,5000,"KES 90,000",Monday,October,FALSE,"KES 85,000",,,,
9/29/2023,MAMMO_1834,Mammography Unit,Women's Health,13,8.1,0.62,27,5000,1000,"KES 135,000",Friday,September,FALSE,"KES 134,000",,,,
8/17/2023,US_1835,Ultrasound,Radiology,12,8,0.67,34,3000,1000,"KES 102,000",Thursday,August,FALSE,"KES 101,000",,,,
8/18/2023,MRI_1836,MRI Scanner,Radiology,11,3.4,0.31,1,30000,5000,"KES 30,000",Friday,August,FALSE,"KES 25,000",,,,
11/24/2023,XRAY_1837,X-Ray Machine,Radiology,14,4.3,0.31,7,2000,1500,"KES 14,000",Friday,November,FALSE,"KES 12,500",,,,
12/22/2023,MRI_1838,MRI Scanner,Radiology,13,3.7,0.28,5,30000,5000,"KES 150,000",Friday,December,FALSE,"KES 145,000",,,,
2/22/2023,US_1839,Ultrasound,Radiology,8,6.4,0.8,21,3000,1000,"KES 63,000",Wednesday,February,FALSE,"KES 62,000",,,,
5/10/2023,MAMMO_1840,Mammography Unit,Women's Health,8,7.2,0.9,29,5000,1000,"KES 145,000",Wednesday,May,FALSE,"KES 144,000",,,,
5/20/2023,MAMMO_1841,Mammography Unit,Women's Health,14,4.8,0.34,10,5000,1000,"KES 50,000",Saturday,May,TRUE,"KES 49,000",,,,
4/21/2023,CT_1842,CT Scanner,Radiology,18,16.6,0.92,13,10000,3000,"KES 130,000",Friday,April,FALSE,"KES 127,000",,,,
9/2/2023,CT_1843,CT Scanner,Radiology,16,12.7,0.79,22,10000,3000,"KES 220,000",Saturday,September,TRUE,"KES 217,000",,,,
12/15/2023,MRI_1844,MRI Scanner,Radiology,16,3.6,0.23,3,30000,5000,"KES 90,000",Friday,December,FALSE,"KES 85,000",,,,
4/4/2023,CT_1845,CT Scanner,Radiology,12,9.8,0.82,6,10000,3000,"KES 60,000",Tuesday,April,FALSE,"KES 57,000",,,,
11/24/2023,MAMMO_1846,Mammography Unit,Women's Health,8,4.9,0.61,20,5000,1000,"KES 100,000",Friday,November,FALSE,"KES 99,000",,,,
1/12/2023,XRAY_1847,X-Ray Machine,Radiology,12,8.9,0.74,8,2000,1500,"KES 16,000",Thursday,January,FALSE,"KES 14,500",,,,
5/30/2023,CT_1848,CT Scanner,Radiology,8,4.1,0.51,25,10000,3000,"KES 250,000",Tuesday,May,FALSE,"KES 247,000",,,,
7/1/2023,CT_1849,CT Scanner,Radiology,13,4.6,0.35,21,10000,3000,"KES 210,000",Saturday,July,TRUE,"KES 207,000",,,,
3/21/2023,MAMMO_1850,Mammography Unit,Women's Health,18,5.5,0.31,28,5000,1000,"KES 140,000",Tuesday,March,FALSE,"KES 139,000",,,,
5/22/2023,XRAY_1851,X-Ray Machine,Radiology,18,8.7,0.48,17,2000,1500,"KES 34,000",Monday,May,FALSE,"KES 32,500",,,,
11/20/2023,MAMMO_1852,Mammography Unit,Women's Health,8,4.6,0.57,7,5000,1000,"KES 35,000",Monday,November,FALSE,"KES 34,000",,,,
2/5/2023,MRI_1853,MRI Scanner,Radiology,14,3.7,0.26,4,30000,5000,"KES 120,000",Sunday,February,TRUE,"KES 115,000",,,,
6/21/2023,US_1854,Ultrasound,Radiology,10,6.5,0.65,32,3000,1000,"KES 96,000",Wednesday,June,FALSE,"KES 95,000",,,,
9/13/2023,MRI_1855,MRI Scanner,Radiology,14,3.2,0.23,2,30000,5000,"KES 60,000",Wednesday,September,FALSE,"KES 55,000",,,,
4/26/2023,US_1856,Ultrasound,Radiology,12,11.3,0.94,29,3000,1000,"KES 87,000",Wednesday,April,FALSE,"KES 86,000",,,,
7/11/2023,CT_1857,CT Scanner,Radiology,12,9.4,0.78,27,10000,3000,"KES 270,000",Tuesday,July,FALSE,"KES 267,000",,,,
5/12/2023,CT_1858,CT Scanner,Radiology,18,13.2,0.73,18,10000,3000,"KES 180,000",Friday,May,FALSE,"KES 177,000",,,,
8/9/2023,CT_1859,CT Scanner,Radiology,19,7.2,0.38,30,10000,3000,"KES 300,000",Wednesday,August,FALSE,"KES 297,000",,,,
2/4/2023,CT_1860,CT Scanner,Radiology,11,7.1,0.65,27,10000,3000,"KES 270,000",Saturday,February,TRUE,"KES 267,000",,,,
4/10/2023,US_1861,Ultrasound,Radiology,12,9.1,0.76,34,3000,1000,"KES 102,000",Monday,April,FALSE,"KES 101,000",,,,
9/4/2023,CT_1862,CT Scanner,Radiology,16,3.2,0.2,9,10000,3000,"KES 90,000",Monday,September,FALSE,"KES 87,000",,,,
6/17/2023,XRAY_1863,X-Ray Machine,Radiology,9,8.5,0.94,13,2000,1500,"KES 26,000",Saturday,June,TRUE,"KES 24,500",,,,
8/25/2023,MAMMO_1864,Mammography Unit,Women's Health,10,6,0.6,24,5000,1000,"KES 120,000",Friday,August,FALSE,"KES 119,000",,,,
5/22/2023,US_1865,Ultrasound,Radiology,9,6.8,0.76,22,3000,1000,"KES 66,000",Monday,May,FALSE,"KES 65,000",,,,
1/9/2023,XRAY_1866,X-Ray Machine,Radiology,14,13.2,0.94,25,2000,1500,"KES 50,000",Monday,January,FALSE,"KES 48,500",,,,
11/17/2023,MRI_1867,MRI Scanner,Radiology,16,1.5,0.09,3,30000,5000,"KES 90,000",Friday,November,FALSE,"KES 85,000",,,,
2/13/2023,US_1868,Ultrasound,Radiology,11,7.2,0.65,35,3000,1000,"KES 105,000",Monday,February,FALSE,"KES 104,000",,,,
2/25/2023,MRI_1869,MRI Scanner,Radiology,14,0.6,0.04,5,30000,5000,"KES 150,000",Saturday,February,TRUE,"KES 145,000",,,,
12/28/2023,CT_1870,CT Scanner,Radiology,15,4.5,0.3,27,10000,3000,"KES 270,000",Thursday,December,FALSE,"KES 267,000",,,,
3/21/2023,CT_1871,CT Scanner,Radiology,18,15.6,0.87,14,10000,3000,"KES 140,000",Tuesday,March,FALSE,"KES 137,000",,,,
3/19/2023,MAMMO_1872,Mammography Unit,Women's Health,8,5,0.62,27,5000,1000,"KES 135,000",Sunday,March,TRUE,"KES 134,000",,,,
2/4/2023,MRI_1873,MRI Scanner,Radiology,16,3,0.19,3,30000,5000,"KES 90,000",Saturday,February,TRUE,"KES 85,000",,,,
7/15/2023,US_1874,Ultrasound,Radiology,11,9.4,0.85,25,3000,1000,"KES 75,000",Saturday,July,TRUE,"KES 74,000",,,,
8/31/2023,XRAY_1875,X-Ray Machine,Radiology,17,8.3,0.49,26,2000,1500,"KES 52,000",Thursday,August,FALSE,"KES 50,500",,,,
2/5/2023,CT_1876,CT Scanner,Radiology,10,5.6,0.56,17,10000,3000,"KES 170,000",Sunday,February,TRUE,"KES 167,000",,,,
3/29/2023,MAMMO_1877,Mammography Unit,Women's Health,17,10.9,0.64,23,5000,1000,"KES 115,000",Wednesday,March,FALSE,"KES 114,000",,,,
1/18/2023,US_1878,Ultrasound,Radiology,11,8.3,0.75,18,3000,1000,"KES 54,000",Wednesday,January,FALSE,"KES 53,000",,,,
6/10/2023,MAMMO_1879,Mammography Unit,Women's Health,10,4.5,0.45,25,5000,1000,"KES 125,000",Saturday,June,TRUE,"KES 124,000",,,,
6/12/2023,MAMMO_1880,Mammography Unit,Women's Health,19,6.6,0.35,6,5000,1000,"KES 30,000",Monday,June,FALSE,"KES 29,000",,,,
4/4/2023,XRAY_1881,X-Ray Machine,Radiology,13,11.7,0.9,13,2000,1500,"KES 26,000",Tuesday,April,FALSE,"KES 24,500",,,,
6/28/2023,CT_1882,CT Scanner,Radiology,16,6.3,0.39,13,10000,3000,"KES 130,000",Wednesday,June,FALSE,"KES 127,000",,,,
7/12/2023,CT_1883,CT Scanner,Radiology,17,5.8,0.34,26,10000,3000,"KES 260,000",Wednesday,July,FALSE,"KES 257,000",,,,
6/26/2023,XRAY_1884,X-Ray Machine,Radiology,20,6.1,0.3,20,2000,1500,"KES 40,000",Monday,June,FALSE,"KES 38,500",,,,
6/10/2023,CT_1885,CT Scanner,Radiology,20,13.6,0.68,22,10000,3000,"KES 220,000",Saturday,June,TRUE,"KES 217,000",,,,
1/27/2023,XRAY_1886,X-Ray Machine,Radiology,14,4.9,0.35,21,2000,1500,"KES 42,000",Friday,January,FALSE,"KES 40,500",,,,
3/17/2023,MAMMO_1887,Mammography Unit,Women's Health,12,11.5,0.96,16,5000,1000,"KES 80,000",Friday,March,FALSE,"KES 79,000",,,,
