Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Daily_Operating_Cost,Maintenance_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Mode_of_Payment
2023-09-28,CT_1371,CT Scanner,Radiology,9,6.6,0.73,30,5585.52,0,18749.42,Thursday,September,False,insurance
2023-10-29,US_1372,Ultrasound,Radiology,11,9.7,0.88,40,2138.12,0,3519.11,Sunday,October,True,insurance
2023-11-01,US_1373,Ultrasound,Radiology,9,8.2,0.91,27,7466.98,0,26811.13,Wednesday,November,False,insurance
2023-08-10,US_1374,Ultrasound,Radiology,11,6.1,0.55,18,6689.16,0,30344.16,Thursday,August,False,cash
2023-04-01,CT_1375,CT Scanner,Radiology,18,9.1,0.51,22,6726.03,0,2754.78,Saturday,April,True,insurance
2023-01-01,US_1376,Ultrasound,Radiology,8,7.0,0.88,34,3661.88,0,25841.38,Sunday,January,True,insurance
2023-03-17,XRAY_1377,X-Ray Machine,Radiology,20,6.2,0.31,15,2506.92,0,43341.54,Friday,March,False,cash
2023-07-28,CT_1378,CT Scanner,Radiology,18,10.6,0.59,17,3070.54,0,15102.22,Friday,July,False,insurance
2023-08-07,MRI_1379,MRI Scanner,Radiology,16,0.6,0.04,1,6836.85,0,21631.9,Monday,August,False,cash
2023-05-09,MAMMO_1380,Mammography Unit,Women's Health,20,10.6,0.53,24,5109.1,0,23622.86,Tuesday,May,False,cash
2023-08-29,XRAY_1381,X-Ray Machine,Radiology,11,4.6,0.42,9,4341.68,0,41517.37,Tuesday,August,False,cash
2023-11-05,CT_1382,CT Scanner,Radiology,9,8.2,0.91,19,6936.41,0,33879.65,Sunday,November,True,insurance
2023-03-09,XRAY_1383,X-Ray Machine,Radiology,10,9.7,0.97,13,7307.83,0,33680.04,Thursday,March,False,cash
2023-01-13,US_1384,Ultrasound,Radiology,11,7.8,0.71,34,2719.02,0,21799.49,Friday,January,False,insurance
2023-05-01,MAMMO_1385,Mammography Unit,Women's Health,9,6.4,0.71,11,6067.14,0,17418.41,Monday,May,False,cash
2023-05-09,CT_1386,CT Scanner,Radiology,15,8.1,0.54,26,7210.99,0,19789.41,Tuesday,May,False,insurance
2023-09-17,US_1387,Ultrasound,Radiology,12,7.6,0.63,28,4540.5,0,43077.31,Sunday,September,True,cash
2023-06-13,XRAY_1388,X-Ray Machine,Radiology,8,6.1,0.76,24,4839.72,0,38740.02,Tuesday,June,False,insurance
2023-12-09,US_1389,Ultrasound,Radiology,9,7.9,0.88,29,2803.24,0,43665.61,Saturday,December,True,cash
2023-12-27,XRAY_1390,X-Ray Machine,Radiology,18,10.8,0.6,18,4427.37,0,10372.45,Wednesday,December,False,cash
2023-10-23,MRI_1391,MRI Scanner,Radiology,15,3.0,0.2,4,4972.07,0,15327.11,Monday,October,False,insurance
2023-01-30,MAMMO_1392,Mammography Unit,Women's Health,14,3.4,0.24,29,2849.4,0,17439.32,Monday,January,False,cash
2023-12-26,CT_1393,CT Scanner,Radiology,20,6.4,0.32,9,5878.48,0,28530.73,Tuesday,December,False,insurance
2023-12-31,XRAY_1394,X-Ray Machine,Radiology,20,7.9,0.4,19,2884.7,0,8743.92,Sunday,December,True,insurance
2023-12-08,MAMMO_1395,Mammography Unit,Women's Health,13,3.8,0.29,16,6465.29,0,39645.7,Friday,December,False,insurance
2023-08-27,MAMMO_1396,Mammography Unit,Women's Health,9,3.7,0.41,20,6441.28,0,33041.62,Sunday,August,True,insurance
2023-08-04,MRI_1397,MRI Scanner,Radiology,15,3.0,0.2,5,1084.84,0,1659.97,Friday,August,False,insurance
2023-08-15,XRAY_1398,X-Ray Machine,Radiology,11,10.2,0.93,18,1373.77,0,31962.78,Tuesday,August,False,cash
2023-03-14,US_1399,Ultrasound,Radiology,11,8.7,0.79,15,1895.68,0,44488.26,Tuesday,March,False,insurance
2023-09-15,MAMMO_1400,Mammography Unit,Women's Health,10,8.8,0.88,19,4781.29,0,7191.93,Friday,September,False,insurance
2023-04-11,US_1401,Ultrasound,Radiology,12,8.2,0.68,30,1588.84,0,18551.81,Tuesday,April,False,cash
2023-08-01,MRI_1402,MRI Scanner,Radiology,12,0.5,0.04,4,4722.53,0,22850.68,Tuesday,August,False,insurance
2023-10-29,CT_1403,CT Scanner,Radiology,19,17.0,0.89,8,4602.9,0,3551.64,Sunday,October,True,cash
2023-08-03,XRAY_1404,X-Ray Machine,Radiology,18,17.0,0.94,22,5002.86,0,45153.72,Thursday,August,False,insurance
2023-11-18,XRAY_1405,X-Ray Machine,Radiology,14,4.9,0.35,17,637.85,0,31625.89,Saturday,November,True,insurance
2023-11-18,XRAY_1406,X-Ray Machine,Radiology,10,5.5,0.55,15,5752.89,0,22113.74,Saturday,November,True,cash
2023-03-01,MAMMO_1407,Mammography Unit,Women's Health,19,8.7,0.46,26,1447.1,0,15078.19,Wednesday,March,False,insurance
2023-01-27,US_1408,Ultrasound,Radiology,11,7.0,0.64,29,5533.62,0,38787.75,Friday,January,False,insurance
2023-11-10,XRAY_1409,X-Ray Machine,Radiology,9,5.0,0.56,20,1219.1,0,49992.77,Friday,November,False,insurance
2023-09-29,MRI_1410,MRI Scanner,Radiology,12,2.0,0.17,3,2753.65,0,39868.82,Friday,September,False,insurance
2023-07-09,MAMMO_1411,Mammography Unit,Women's Health,13,9.3,0.72,17,3733.69,0,42867.05,Sunday,July,True,insurance
2023-02-25,MRI_1412,MRI Scanner,Radiology,10,3.5,0.35,5,3050.0,0,7397.3,Saturday,February,True,cash
2023-04-24,US_1413,Ultrasound,Radiology,12,9.3,0.78,32,4374.28,0,39064.74,Monday,April,False,cash
2023-10-11,US_1414,Ultrasound,Radiology,12,10.1,0.84,27,718.63,0,11919.47,Wednesday,October,False,insurance
2023-02-07,US_1415,Ultrasound,Radiology,8,7.5,0.94,23,7187.92,0,49037.1,Tuesday,February,False,insurance
2023-05-01,XRAY_1416,X-Ray Machine,Radiology,20,19.7,0.98,22,2783.34,0,2554.43,Monday,May,False,insurance
2023-05-30,MAMMO_1417,Mammography Unit,Women's Health,8,4.3,0.54,19,3360.85,0,31567.81,Tuesday,May,False,insurance
2023-09-21,CT_1418,CT Scanner,Radiology,8,6.7,0.84,30,3151.59,0,42464.04,Thursday,September,False,insurance
2023-02-28,XRAY_1419,X-Ray Machine,Radiology,19,8.7,0.46,28,5924.48,0,3888.02,Tuesday,February,False,insurance
2023-11-12,MRI_1420,MRI Scanner,Radiology,15,3.2,0.21,4,5955.43,0,29819.34,Sunday,November,True,insurance
2023-04-06,CT_1421,CT Scanner,Radiology,11,7.6,0.69,8,6996.0,0,16385.18,Thursday,April,False,insurance
2023-06-20,US_1422,Ultrasound,Radiology,12,7.9,0.66,34,5926.2,0,33234.16,Tuesday,June,False,insurance
2023-02-18,US_1423,Ultrasound,Radiology,8,7.7,0.96,30,1328.71,0,34599.69,Saturday,February,True,insurance
2023-01-22,XRAY_1424,X-Ray Machine,Radiology,11,4.1,0.37,28,2537.61,0,19422.37,Sunday,January,True,insurance
2023-04-17,US_1425,Ultrasound,Radiology,11,11.0,1.0,17,3798.47,0,47007.93,Monday,April,False,cash
2023-01-09,US_1426,Ultrasound,Radiology,9,6.3,0.7,30,4339.18,0,2097.07,Monday,January,False,cash
2023-12-20,CT_1427,CT Scanner,Radiology,14,6.8,0.49,7,2406.08,0,47417.59,Wednesday,December,False,insurance
2023-04-25,US_1428,Ultrasound,Radiology,9,7.0,0.78,16,1771.07,0,46274.96,Tuesday,April,False,insurance
2023-08-01,MRI_1429,MRI Scanner,Radiology,13,3.5,0.27,4,4394.39,0,41821.58,Tuesday,August,False,insurance
2023-12-10,XRAY_1430,X-Ray Machine,Radiology,14,9.8,0.7,25,6822.08,0,30205.89,Sunday,December,True,insurance
2023-01-23,US_1431,Ultrasound,Radiology,9,8.9,0.99,16,6286.16,0,11035.86,Monday,January,False,insurance
2023-06-07,MRI_1432,MRI Scanner,Radiology,11,1.4,0.13,5,4716.76,0,5323.49,Wednesday,June,False,insurance
2023-02-16,US_1433,Ultrasound,Radiology,11,8.4,0.76,40,2326.22,0,43708.41,Thursday,February,False,cash
2023-08-11,CT_1434,CT Scanner,Radiology,12,6.0,0.5,23,1376.29,0,48605.25,Friday,August,False,insurance
2023-08-21,MAMMO_1435,Mammography Unit,Women's Health,19,4.1,0.22,19,6726.1,0,24056.06,Monday,August,False,insurance
2023-05-14,MRI_1436,MRI Scanner,Radiology,9,1.2,0.13,3,1459.49,0,34151.28,Sunday,May,True,insurance
2023-06-10,XRAY_1437,X-Ray Machine,Radiology,19,15.2,0.8,16,3270.37,0,1461.53,Saturday,June,True,insurance
2023-09-06,CT_1438,CT Scanner,Radiology,10,9.7,0.97,25,3129.05,0,3416.01,Wednesday,September,False,insurance
2023-10-22,MAMMO_1439,Mammography Unit,Women's Health,9,7.0,0.78,18,1122.62,0,29185.55,Sunday,October,True,insurance
2023-01-25,MAMMO_1440,Mammography Unit,Women's Health,18,13.6,0.76,19,5059.03,0,2261.96,Wednesday,January,False,cash
2023-09-16,XRAY_1441,X-Ray Machine,Radiology,17,14.1,0.83,27,5411.25,0,34929.01,Saturday,September,True,cash
2023-04-19,MAMMO_1442,Mammography Unit,Women's Health,10,6.4,0.64,6,4795.0,0,44416.63,Wednesday,April,False,cash
2023-07-02,MAMMO_1443,Mammography Unit,Women's Health,9,5.2,0.58,16,2125.57,0,38741.75,Sunday,July,True,insurance
2023-10-06,XRAY_1444,X-Ray Machine,Radiology,16,15.0,0.94,14,4268.86,0,17612.71,Friday,October,False,insurance
2023-07-31,US_1445,Ultrasound,Radiology,10,8.4,0.84,18,5904.48,0,41189.98,Monday,July,False,insurance
2023-11-05,XRAY_1446,X-Ray Machine,Radiology,16,11.8,0.74,9,4458.92,0,37229.52,Sunday,November,True,insurance
2023-08-04,CT_1447,CT Scanner,Radiology,20,11.4,0.57,27,3758.78,0,44690.53,Friday,August,False,insurance
2023-12-22,XRAY_1448,X-Ray Machine,Radiology,16,7.0,0.44,13,690.31,0,21564.33,Friday,December,False,insurance
2023-02-15,US_1449,Ultrasound,Radiology,10,6.8,0.68,32,3155.85,0,13038.4,Wednesday,February,False,insurance
2023-06-10,MRI_1450,MRI Scanner,Radiology,12,2.6,0.22,2,3024.69,0,19689.41,Saturday,June,True,insurance
2023-06-28,MAMMO_1451,Mammography Unit,Women's Health,11,9.6,0.87,16,1134.48,0,18714.01,Wednesday,June,False,insurance
2023-10-14,MAMMO_1452,Mammography Unit,Women's Health,19,11.9,0.63,23,5236.28,0,25863.51,Saturday,October,True,insurance
2023-02-07,MRI_1453,MRI Scanner,Radiology,15,2.7,0.18,3,6600.7,0,36541.03,Tuesday,February,False,cash
2023-03-16,MAMMO_1454,Mammography Unit,Women's Health,16,13.8,0.86,19,4586.5,0,8904.82,Thursday,March,False,cash
2023-11-25,US_1455,Ultrasound,Radiology,12,6.2,0.52,22,3141.58,0,14448.76,Saturday,November,True,cash
2023-03-23,XRAY_1456,X-Ray Machine,Radiology,12,5.1,0.42,27,5504.54,0,40358.45,Thursday,March,False,insurance
2023-06-05,CT_1457,CT Scanner,Radiology,16,13.3,0.83,30,832.44,0,2534.57,Monday,June,False,cash
2023-04-01,MRI_1458,MRI Scanner,Radiology,15,1.6,0.11,5,938.28,0,3552.14,Saturday,April,True,insurance
2023-01-25,CT_1459,CT Scanner,Radiology,10,10.0,1.0,23,3223.15,0,35053.29,Wednesday,January,False,insurance
2023-08-04,US_1460,Ultrasound,Radiology,12,10.1,0.84,24,1231.05,0,26846.6,Friday,August,False,insurance
2023-08-25,XRAY_1461,X-Ray Machine,Radiology,15,8.0,0.53,16,2570.19,0,33926.95,Friday,August,False,cash
2023-05-29,CT_1462,CT Scanner,Radiology,8,3.4,0.42,25,505.64,0,21243.54,Monday,May,False,insurance
2023-11-17,MRI_1463,MRI Scanner,Radiology,15,3.5,0.23,4,4858.4,0,33206.98,Friday,November,False,insurance
2023-06-21,XRAY_1464,X-Ray Machine,Radiology,8,5.9,0.74,10,764.99,0,48719.12,Wednesday,June,False,insurance
2023-05-24,CT_1465,CT Scanner,Radiology,20,17.3,0.86,8,7339.2,0,48816.11,Wednesday,May,False,cash
2023-01-29,CT_1466,CT Scanner,Radiology,19,16.3,0.86,17,5073.22,0,9087.18,Sunday,January,True,cash
2023-03-08,MRI_1467,MRI Scanner,Radiology,8,0.6,0.07,1,3017.86,0,5654.26,Wednesday,March,False,cash
2023-12-01,US_1468,Ultrasound,Radiology,11,8.0,0.73,29,6331.94,0,19668.51,Friday,December,False,cash
2023-12-30,MRI_1469,MRI Scanner,Radiology,13,2.1,0.16,5,4942.61,0,27097.79,Saturday,December,True,insurance
2023-11-27,MAMMO_1470,Mammography Unit,Women's Health,17,15.5,0.91,14,5811.79,0,42021.72,Monday,November,False,insurance
2023-09-11,MAMMO_1471,Mammography Unit,Women's Health,15,12.7,0.85,20,3760.02,0,1405.24,Monday,September,False,cash
2023-10-12,CT_1472,CT Scanner,Radiology,12,5.1,0.42,19,1774.39,0,40949.22,Thursday,October,False,cash
2023-01-26,MRI_1473,MRI Scanner,Radiology,8,0.6,0.07,4,1161.1,0,49222.49,Thursday,January,False,cash
2023-05-08,MAMMO_1474,Mammography Unit,Women's Health,10,6.9,0.69,11,7465.41,0,28554.33,Monday,May,False,insurance
2023-03-02,XRAY_1475,X-Ray Machine,Radiology,20,10.1,0.51,22,3776.47,0,13920.11,Thursday,March,False,insurance
2023-12-28,MAMMO_1476,Mammography Unit,Women's Health,13,4.2,0.32,6,4911.93,0,15815.91,Thursday,December,False,cash
2023-02-28,US_1477,Ultrasound,Radiology,9,6.1,0.68,16,2981.72,0,16991.63,Tuesday,February,False,insurance
2023-11-27,MAMMO_1478,Mammography Unit,Women's Health,9,6.0,0.67,26,6510.96,0,28645.36,Monday,November,False,cash
2023-11-01,MRI_1479,MRI Scanner,Radiology,11,2.6,0.24,5,2575.97,0,36567.99,Wednesday,November,False,cash
2023-04-13,XRAY_1480,X-Ray Machine,Radiology,13,7.3,0.56,29,4681.51,0,16824.3,Thursday,April,False,cash
2023-05-01,US_1481,Ultrasound,Radiology,12,11.1,0.92,20,7401.69,0,17715.39,Monday,May,False,insurance
2023-09-02,MAMMO_1482,Mammography Unit,Women's Health,13,9.7,0.75,10,997.57,0,41642.95,Saturday,September,True,cash
2023-03-29,US_1483,Ultrasound,Radiology,10,7.2,0.72,34,7020.32,0,44008.93,Wednesday,March,False,insurance
2023-02-02,MAMMO_1484,Mammography Unit,Women's Health,18,15.0,0.83,21,7497.42,0,12279.47,Thursday,February,False,insurance
2023-08-03,CT_1485,CT Scanner,Radiology,8,5.7,0.71,13,2887.97,0,5447.8,Thursday,August,False,insurance
2023-10-29,XRAY_1486,X-Ray Machine,Radiology,10,4.5,0.45,15,3260.77,0,47486.25,Sunday,October,True,insurance
2023-11-19,MRI_1487,MRI Scanner,Radiology,11,1.8,0.16,1,1285.03,0,30027.19,Sunday,November,True,cash
2023-01-03,MRI_1488,MRI Scanner,Radiology,9,1.3,0.14,2,5618.14,0,48085.87,Tuesday,January,False,cash
2023-05-01,MRI_1489,MRI Scanner,Radiology,15,3.1,0.21,4,5448.86,0,49364.44,Monday,May,False,insurance
2023-08-03,CT_1490,CT Scanner,Radiology,20,15.7,0.78,29,6709.17,0,2752.94,Thursday,August,False,insurance
2023-05-15,MRI_1491,MRI Scanner,Radiology,16,1.9,0.12,3,7049.18,0,49090.9,Monday,May,False,cash
2023-11-25,CT_1492,CT Scanner,Radiology,20,11.5,0.57,21,4097.58,0,47759.39,Saturday,November,True,insurance
2023-05-04,MRI_1493,MRI Scanner,Radiology,8,2.7,0.34,2,7458.69,0,41634.91,Thursday,May,False,insurance
2023-10-12,XRAY_1494,X-Ray Machine,Radiology,13,7.4,0.57,15,2022.36,0,3802.01,Thursday,October,False,insurance
2023-09-07,MAMMO_1495,Mammography Unit,Women's Health,14,13.0,0.93,6,7274.83,0,25198.0,Thursday,September,False,insurance
2023-05-29,XRAY_1496,X-Ray Machine,Radiology,16,3.6,0.23,19,5627.29,0,29262.38,Monday,May,False,insurance
2023-10-12,CT_1497,CT Scanner,Radiology,17,9.8,0.58,9,3050.14,0,23512.69,Thursday,October,False,insurance
2023-04-23,CT_1498,CT Scanner,Radiology,9,7.4,0.82,24,5081.98,0,24059.64,Sunday,April,True,cash
2023-02-22,MAMMO_1499,Mammography Unit,Women's Health,16,6.4,0.4,19,639.42,0,27366.11,Wednesday,February,False,insurance
2023-12-09,MRI_1500,MRI Scanner,Radiology,9,3.1,0.34,4,4242.27,0,3664.53,Saturday,December,True,insurance
2023-08-13,MRI_1501,MRI Scanner,Radiology,11,0.8,0.07,3,1994.36,0,35143.5,Sunday,August,True,insurance
2023-12-21,MAMMO_1502,Mammography Unit,Women's Health,10,9.8,0.98,17,3778.32,0,22038.16,Thursday,December,False,cash
2023-02-22,CT_1503,CT Scanner,Radiology,17,12.0,0.71,14,3928.36,0,4895.44,Wednesday,February,False,cash
2023-03-23,XRAY_1504,X-Ray Machine,Radiology,20,5.0,0.25,20,4492.16,0,2955.98,Thursday,March,False,insurance
2023-04-22,MAMMO_1505,Mammography Unit,Women's Health,11,6.0,0.55,7,5315.42,0,21247.5,Saturday,April,True,insurance
2023-04-10,MRI_1506,MRI Scanner,Radiology,16,2.3,0.14,3,6938.75,0,5953.49,Monday,April,False,cash
2023-01-08,XRAY_1507,X-Ray Machine,Radiology,19,17.7,0.93,25,1100.97,0,21196.17,Sunday,January,True,cash
2023-06-01,MAMMO_1508,Mammography Unit,Women's Health,9,3.2,0.36,24,3535.12,0,24192.49,Thursday,June,False,insurance
2023-11-13,US_1509,Ultrasound,Radiology,8,7.7,0.96,32,1138.51,0,40410.99,Monday,November,False,insurance
2023-06-14,CT_1510,CT Scanner,Radiology,9,7.2,0.8,17,3690.35,0,38394.77,Wednesday,June,False,insurance
2023-05-13,XRAY_1511,X-Ray Machine,Radiology,8,7.4,0.93,28,5761.63,0,28185.69,Saturday,May,True,insurance
2023-05-18,MAMMO_1512,Mammography Unit,Women's Health,14,8.1,0.58,30,6946.69,0,18501.61,Thursday,May,False,insurance
2023-10-03,MAMMO_1513,Mammography Unit,Women's Health,10,8.3,0.83,23,875.47,0,14618.72,Tuesday,October,False,insurance
2023-03-01,MAMMO_1514,Mammography Unit,Women's Health,19,5.2,0.27,11,6311.03,0,42514.92,Wednesday,March,False,insurance
2023-04-24,MAMMO_1515,Mammography Unit,Women's Health,19,4.0,0.21,8,3067.15,0,14246.43,Monday,April,False,insurance
2023-04-21,MRI_1516,MRI Scanner,Radiology,12,4.0,0.33,3,1988.03,0,45714.85,Friday,April,False,cash
2023-09-05,XRAY_1517,X-Ray Machine,Radiology,14,9.2,0.66,30,4641.63,0,38928.72,Tuesday,September,False,insurance
2023-02-06,MAMMO_1518,Mammography Unit,Women's Health,16,13.7,0.86,24,2676.73,0,2385.63,Monday,February,False,insurance
2023-05-13,US_1519,Ultrasound,Radiology,12,7.7,0.64,33,5148.66,0,3582.43,Saturday,May,True,cash
2023-02-11,US_1520,Ultrasound,Radiology,9,8.8,0.98,25,4451.28,0,41953.06,Saturday,February,True,insurance
2023-05-29,MAMMO_1521,Mammography Unit,Women's Health,15,9.0,0.6,30,3387.06,0,11420.77,Monday,May,False,insurance
2023-12-07,MAMMO_1522,Mammography Unit,Women's Health,13,12.9,0.99,11,6954.17,0,22018.54,Thursday,December,False,insurance
2023-09-05,MAMMO_1523,Mammography Unit,Women's Health,19,7.1,0.37,25,985.68,0,21411.02,Tuesday,September,False,insurance
2023-10-12,MAMMO_1524,Mammography Unit,Women's Health,15,12.7,0.85,24,7377.96,0,19802.3,Thursday,October,False,insurance
2023-10-05,MAMMO_1525,Mammography Unit,Women's Health,19,10.7,0.56,20,3973.81,0,8333.03,Thursday,October,False,cash
2023-08-05,MRI_1526,MRI Scanner,Radiology,11,3.3,0.3,5,1326.26,0,14679.61,Saturday,August,True,insurance
2023-11-03,MRI_1527,MRI Scanner,Radiology,10,2.8,0.28,4,2197.62,0,12521.85,Friday,November,False,insurance
2023-10-16,CT_1528,CT Scanner,Radiology,14,4.5,0.32,21,5904.19,0,16185.12,Monday,October,False,insurance
2023-07-19,XRAY_1529,X-Ray Machine,Radiology,11,6.2,0.56,13,6793.11,0,38490.67,Wednesday,July,False,insurance
2023-05-29,CT_1530,CT Scanner,Radiology,20,7.7,0.39,30,6080.82,0,35272.66,Monday,May,False,cash
2023-12-09,MRI_1531,MRI Scanner,Radiology,11,2.6,0.24,5,3125.04,0,38190.85,Saturday,December,True,insurance
2023-12-29,XRAY_1532,X-Ray Machine,Radiology,10,5.6,0.56,8,5987.05,0,10526.33,Friday,December,False,insurance
2023-05-24,XRAY_1533,X-Ray Machine,Radiology,15,9.7,0.65,25,5997.44,0,9417.67,Wednesday,May,False,cash
2023-02-09,US_1534,Ultrasound,Radiology,8,6.3,0.79,26,6216.47,0,20276.15,Thursday,February,False,insurance
2023-01-27,XRAY_1535,X-Ray Machine,Radiology,19,5.7,0.3,13,5110.95,0,18469.69,Friday,January,False,insurance
2023-07-12,MRI_1536,MRI Scanner,Radiology,16,2.9,0.18,4,4524.59,0,6245.29,Wednesday,July,False,insurance
2023-07-04,MRI_1537,MRI Scanner,Radiology,9,2.5,0.28,3,2939.47,0,6899.94,Tuesday,July,False,cash
2023-11-19,MAMMO_1538,Mammography Unit,Women's Health,11,8.1,0.74,17,594.32,0,45024.59,Sunday,November,True,insurance
2023-01-05,MAMMO_1539,Mammography Unit,Women's Health,16,11.6,0.72,18,1850.14,0,25040.71,Thursday,January,False,insurance
2023-04-30,XRAY_1540,X-Ray Machine,Radiology,13,7.2,0.55,15,6465.24,0,41438.87,Sunday,April,True,cash
2023-02-02,MAMMO_1541,Mammography Unit,Women's Health,17,4.1,0.24,19,7145.96,0,15979.36,Thursday,February,False,cash
2023-08-18,CT_1542,CT Scanner,Radiology,19,17.9,0.94,7,2359.18,0,33540.17,Friday,August,False,cash
2023-04-26,CT_1543,CT Scanner,Radiology,8,7.4,0.93,20,1583.64,0,23621.7,Wednesday,April,False,cash
2023-12-04,US_1544,Ultrasound,Radiology,9,8.3,0.92,20,2297.26,0,9076.93,Monday,December,False,insurance
2023-12-08,MAMMO_1545,Mammography Unit,Women's Health,16,9.8,0.61,6,1806.82,0,22909.9,Friday,December,False,insurance
2023-02-02,US_1546,Ultrasound,Radiology,10,6.5,0.65,30,7488.55,0,25302.15,Thursday,February,False,insurance
2023-04-11,MRI_1547,MRI Scanner,Radiology,15,1.6,0.11,5,3726.04,0,47810.2,Tuesday,April,False,insurance
2023-11-10,XRAY_1548,X-Ray Machine,Radiology,14,3.8,0.27,26,5093.54,0,44104.38,Friday,November,False,insurance
2023-08-15,XRAY_1549,X-Ray Machine,Radiology,11,6.5,0.59,21,4010.07,0,6501.06,Tuesday,August,False,cash
2023-08-23,XRAY_1550,X-Ray Machine,Radiology,10,9.1,0.91,10,2320.89,0,25316.87,Wednesday,August,False,insurance
2023-08-03,MAMMO_1551,Mammography Unit,Women's Health,19,17.6,0.93,7,7098.86,0,23806.73,Thursday,August,False,insurance
2023-07-19,MAMMO_1552,Mammography Unit,Women's Health,11,9.9,0.9,10,3017.79,0,45592.73,Wednesday,July,False,cash
2023-06-24,CT_1553,CT Scanner,Radiology,15,13.4,0.89,11,3513.17,0,48471.46,Saturday,June,True,insurance
2023-04-15,US_1554,Ultrasound,Radiology,12,6.9,0.58,28,5827.84,0,47094.74,Saturday,April,True,cash
2023-03-16,CT_1555,CT Scanner,Radiology,19,5.0,0.26,20,2389.93,0,36887.79,Thursday,March,False,insurance
2023-11-08,CT_1556,CT Scanner,Radiology,20,10.7,0.53,20,4871.91,0,31552.0,Wednesday,November,False,cash
2023-10-02,MAMMO_1557,Mammography Unit,Women's Health,14,5.1,0.36,19,3603.14,0,37082.64,Monday,October,False,cash
2023-09-20,CT_1558,CT Scanner,Radiology,10,9.7,0.97,20,1148.58,0,12804.37,Wednesday,September,False,insurance
2023-06-13,CT_1559,CT Scanner,Radiology,17,12.2,0.72,15,4853.73,0,49045.92,Tuesday,June,False,insurance
2023-03-10,MAMMO_1560,Mammography Unit,Women's Health,10,9.2,0.92,23,4732.09,0,42158.85,Friday,March,False,insurance
2023-12-07,MAMMO_1561,Mammography Unit,Women's Health,8,5.4,0.68,19,3776.13,0,12440.92,Thursday,December,False,insurance
2023-11-01,US_1562,Ultrasound,Radiology,10,8.6,0.86,36,5166.81,0,3598.46,Wednesday,November,False,insurance
2023-11-22,MAMMO_1563,Mammography Unit,Women's Health,20,7.6,0.38,23,5326.01,0,12717.27,Wednesday,November,False,cash
2023-03-29,US_1564,Ultrasound,Radiology,12,9.2,0.77,26,4717.46,0,5148.65,Wednesday,March,False,insurance
2023-07-19,MRI_1565,MRI Scanner,Radiology,13,0.9,0.07,2,6691.02,0,15049.45,Wednesday,July,False,cash
2023-08-18,MRI_1566,MRI Scanner,Radiology,16,1.7,0.11,3,1324.54,0,43621.5,Friday,August,False,cash
2023-04-28,US_1567,Ultrasound,Radiology,11,8.6,0.78,26,1200.42,0,9758.0,Friday,April,False,insurance
2023-04-23,MRI_1568,MRI Scanner,Radiology,16,2.1,0.13,3,2846.17,0,9639.49,Sunday,April,True,cash
2023-05-03,XRAY_1569,X-Ray Machine,Radiology,13,3.5,0.27,23,2261.81,0,11209.25,Wednesday,May,False,insurance
2023-08-21,MRI_1570,MRI Scanner,Radiology,12,1.7,0.14,4,7236.36,0,31570.17,Monday,August,False,insurance
2023-10-17,US_1571,Ultrasound,Radiology,9,8.3,0.92,16,7356.94,0,28756.31,Tuesday,October,False,insurance
2023-10-08,MAMMO_1572,Mammography Unit,Women's Health,16,10.4,0.65,18,2698.02,0,36071.85,Sunday,October,True,insurance
2023-03-23,CT_1573,CT Scanner,Radiology,10,5.7,0.57,16,1662.67,0,34833.81,Thursday,March,False,cash
2023-12-31,XRAY_1574,X-Ray Machine,Radiology,12,8.9,0.74,7,2884.66,0,36626.2,Sunday,December,True,insurance
2023-11-19,US_1575,Ultrasound,Radiology,10,9.6,0.96,21,6031.26,0,22754.93,Sunday,November,True,insurance
2023-08-26,CT_1576,CT Scanner,Radiology,9,3.2,0.36,14,4630.37,0,3759.39,Saturday,August,True,insurance
2023-12-19,MRI_1577,MRI Scanner,Radiology,13,0.8,0.06,3,7300.7,0,42099.52,Tuesday,December,False,cash
2023-04-18,MRI_1578,MRI Scanner,Radiology,8,1.7,0.21,3,7274.16,0,4288.27,Tuesday,April,False,insurance
2023-12-06,MRI_1579,MRI Scanner,Radiology,16,1.1,0.07,1,2157.86,0,34283.42,Wednesday,December,False,insurance
2023-06-22,MRI_1580,MRI Scanner,Radiology,15,2.7,0.18,2,1294.37,0,41112.71,Thursday,June,False,insurance
2023-11-06,MRI_1581,MRI Scanner,Radiology,15,1.0,0.07,2,2727.7,0,34214.46,Monday,November,False,cash
2023-08-11,XRAY_1582,X-Ray Machine,Radiology,11,9.0,0.82,19,3401.01,0,34100.67,Friday,August,False,cash
2023-09-21,CT_1583,CT Scanner,Radiology,12,5.8,0.48,21,6619.23,0,47050.85,Thursday,September,False,insurance
2023-07-06,MRI_1584,MRI Scanner,Radiology,11,1.6,0.15,1,4740.74,0,47710.7,Thursday,July,False,cash
2023-06-01,XRAY_1585,X-Ray Machine,Radiology,14,4.0,0.29,18,6476.73,0,36310.59,Thursday,June,False,insurance
2023-02-28,CT_1586,CT Scanner,Radiology,10,6.4,0.64,15,1023.84,0,39071.88,Tuesday,February,False,cash
2023-06-20,XRAY_1587,X-Ray Machine,Radiology,11,4.1,0.37,26,1364.65,0,24121.27,Tuesday,June,False,cash
